Type,Al(ppm),Ti(ppm),Li(ppm),Ge(ppm),Sr(ppm)
orogenic,186,0.567,2.984,10.358,0.402
orogenic,68.289,0.369,0.047,5.32,1.126
orogenic,75.985,0.188,0.047,5.592,1.24
orogenic,112,0.784,0.039,5.507,2.807
orogenic,81.108,0.76,0.038,5.818,2.042
orogenic,120,0.831,0.043,4.462,1.262
orogenic,66.378,0.923,0.085,5.455,2.061
orogenic,122,0.706,0.105,6.683,2.138
orogenic,111,0.536,0.248,6.03,5.815
orogenic,19.597,0.096,0.042,5.535,1.622
orogenic,21.038,0.102,0.037,5.935,0.643
orogenic,70.568,0.107,0.069,7.11,0.874
orogenic,93.473,0.425,0.486,6.304,1.858
orogenic,68.719,0.238,0.165,8.673,0.709
orogenic,87.797,2.738,0.118,7.823,2.544
orogenic,147,6.421,0.057,5.799,1.873
orogenic,37.187,8.94,0.059,5.467,0.964
orogenic,106,0.318,3.236,12.276,0.468
orogenic,37.177,0.249,0.073,6.568,0.518
orogenic,143,0.401,1.483,10.342,0.476
orogenic,76.288,0.294,0.413,7.98,0.456
orogenic,74.214,3.668,0.751,8.249,0.262
orogenic,92.01,0.264,2.57,8.675,0.195
orogenic,93.858,0.309,1.786,8.24,0.075
orogenic,77.882,3.353,0.471,7.436,0.568
orogenic,28.028,0.222,0.05,5.442,0.272
orogenic,2316,0.78,3.5,10.792,6.445
orogenic,2841,0.747,2.899,9.901,14.134
orogenic,30.357,0.094,0.234,6.225,0.659
carlin,322.1089721,0.394444107,8.30750407,5.552371512,0.870213812
carlin,204.4415904,0.090744691,2.177957945,4.813755698,0.598122566
carlin,45.78559604,0.087307348,0.122787752,2.633690909,0.326448937
carlin,41.23400125,0.083934658,0.045223644,2.53291765,0.407654932
carlin,73.37268947,0.077929081,0.294770702,2.62727988,0.602103124
carlin,321.5523,0.107803023,3.049972837,3.223666699,0.41140808
carlin,108.2691926,0.101407844,0.763344852,2.839127629,0.324224392
carlin,50.06729011,0.028216189,0.045432562,3.063827538,0.192545211
carlin,380.0112858,0.213604829,4.725566034,6.189211091,1.558590376
carlin,120.683857,0.099192405,1.606155715,4.376958838,0.58811838
carlin,277.4650473,0.043932913,6.577112127,4.250834773,0.961189189
carlin,323.8864807,0.039695563,8.277873505,3.838585077,1.265478596
carlin,408.528457,0.044449212,10.35662236,5.218853248,1.769629747
carlin,228.5643543,0.027741876,5.411315007,4.288770152,0.639601621
carlin,561.4835996,0.161893393,12.11345822,3.671462555,1.627861312
carlin,547.3271819,0.034633537,12.14058282,3.754898304,1.443614182
carlin,347.9557302,0.19499974,5.697554431,2.78318133,0.825525424
carlin,360.6538421,0.148589796,5.621859873,1.698338644,1.923970948
carlin,145.5519101,0.112596162,0.930719254,1.95333032,0.349757741
carlin,95.41529013,0.069536025,0.12480223,1.567143291,0.196303689
carlin,124.3975848,0.087945114,0.586354484,2.270169922,0.800805333
carlin,283.9086002,0.095825307,7.676089887,2.929689748,0.426720928
carlin,203.2395807,0.011014604,1.070485199,1.100893821,0.194682445
carlin,292.7975785,0.067154021,6.068608347,2.492910969,0.891397821
carlin,83.70175376,0.092373553,0.168101772,2.193276493,0.03655693
carlin,52.86121465,0.077335067,0.559271145,1.042526643,0.074660988
carlin,94.43165198,0.037273306,1.448113342,2.973592401,0.045055565
carlin,136.1505294,0.11771436,0.538926485,3.866538384,0.053614219
carlin,102.6472602,0.096369007,1.136382804,2.902850502,0.126390967
carlin,1012.419179,0.75443293,25.0885812,11.97996956,2.065867703
carlin,561.6532179,0.281004582,13.41339331,9.952030042,1.442413933
carlin,1422.593136,0.257253741,36.32818273,7.945750719,1.729530327
carlin,1341.128961,0.5746393,28.85322726,10.93492681,5.176598109
carlin,1952.581436,0.253179531,83.98060044,7.642332545,1.787122774
carlin,1382.753263,0.145084284,51.91875219,7.173824371,2.03035372
carlin,1391.593994,0.251590255,52.54870294,6.65868083,3.616366149
carlin,885.4205893,0.413906741,26.09271587,5.320110749,1.189495497
carlin,845.8235109,0.227103339,28.66472509,6.06827458,2.630381702
carlin,950.3481644,0.206540185,25.35372255,5.932361365,3.497583459
carlin,845.1911149,0.123057185,18.32683253,6.123802714,2.968255421
carlin,2017.770374,0.012815849,93.52699648,3.716740315,2.275762159
carlin,385.1411739,0.24225548,12.58405324,4.904648143,0.079754857
carlin,576.9100891,0.281551888,15.14412909,5.50961503,0.244603353
carlin,594.6646161,0.501335121,16.18925197,7.47514906,0.249371084
carlin,741.4402068,0.277078862,41.2168268,4.1684802,0.019245102
carlin,715.0492368,0.27904879,29.41566637,3.624090021,0.150205736
carlin,609.7718025,0.498592193,19.18230873,6.882165605,0.094599308
carlin,636.8463274,0.530051691,18.65067169,7.200294478,0.22002177
carlin,789.3528961,0.208715367,26.52800534,3.560985759,0.058643939
carlin,700.8180376,0.482319096,22.0098415,7.355031487,0.092445063
carlin,636.8594122,0.393822716,18.10179549,6.169362085,0.120858487
carlin,605.1004924,0.145187363,26.73702972,4.892844728,0.279164519
carlin,784.5101795,0.460931758,22.87332771,7.391044734,0.29976451
carlin,507.0199021,0.184159811,21.77031623,2.378173177,0.389732768
carlin,504.7477498,0.360827127,17.29386908,2.944939588,0.080920189
carlin,688.8099489,0.511779381,24.65118181,7.835649717,0.081061556
carlin,595.976775,0.400247873,20.36305311,10.55249666,0.344677273
carlin,630.4832193,0.228875234,30.2389078,4.510150835,0.046671453
carlin,763.7493728,0.180948435,32.82786749,3.058704089,0.007493881
carlin,340.1524204,0.196599429,10.17929982,1.775150434,0.08254559
carlin,637.9366432,0.164304496,22.71099291,3.005716984,0.416200312
carlin,735.9034528,0.145642987,28.78125325,2.953036208,1.321219944
carlin,715.814744,0.510121055,16.04913135,4.877284211,0.504416988
carlin,524.0991083,0.11346215,16.81355063,4.698393395,1.100764301
carlin,2098.840505,0.414530496,93.23960572,4.439166642,1.458239021
carlin,1414.181274,0.299556675,70.6896656,2.904149383,0.041401095
carlin,1362.308535,0.403869197,52.10568103,3.14003495,0.035765139
carlin,1542.958437,0.932975955,40.6581448,4.314710637,0.162316283
carlin,1626.107494,0.348466706,50.18351602,7.60521139,0.478513935
carlin,1738.279828,0.963599167,48.65438585,9.319251494,0.029959966
carlin,1621.849038,0.723246114,46.48206504,10.05216443,0.033472073
carlin,1785.00244,0.413177989,48.36504506,11.76385048,0.1065077
carlin,1890.983952,0.491566534,33.25612029,10.96158299,0.085351323
carlin,2547.242077,0.842825425,79.71372041,7.658115241,0.222718654
carlin,1751.183414,0.603700491,64.56410104,10.54360453,0.125885519
carlin,1538.750876,0.350284183,58.06065228,9.483909333,0.31055221
carlin,1672.189916,0.739543743,74.29598418,7.378898231,0.00346886
carlin,1996.626309,0.881080635,98.25218615,3.820843846,0.012549293
carlin,1644.631419,0.768309253,83.49289695,3.947853135,0.00127116
carlin,1778.747518,0.844892892,87.89274584,3.476454747,0.455549408
carlin,887.5537874,0.42019054,36.07378067,2.106950773,0.314991327
carlin,1002.865835,0.553037839,39.02419339,2.838952056,0.049929563
carlin,1028.298674,0.678839181,33.01528834,3.305103155,0.059065486
carlin,1002.465892,1.017430344,29.86726372,4.10709803,0.043774649
carlin,1081.840609,0.768353664,30.38312234,3.558399643,0.123405269
carlin,1042.278399,0.63701674,29.84138355,3.376730683,0.015834711
